name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
South 13th Street,0,15960806,0,1,,119.19380995702267,1,29,,residential,6,"LINESTRING (-92.6291543 41.2883596, -92.6291171 41.2884231, -92.6290833 41.2885578, -92.6290992 41.2894232)",auto;walk;bike,1
South 13th Street,1,15960806,1,0,,119.19380995702268,1,29,,residential,6,"LINESTRING (-92.6290992 41.2894232, -92.6290833 41.2885578, -92.6291171 41.2884231, -92.6291543 41.2883596)",auto;walk;bike,1
Crosson Avenue,2,15960809,2,1374,,67.839400530473,1,29,,residential,6,"LINESTRING (-92.6173867 41.2854394, -92.6181986 41.2854423)",auto;walk;bike,1
Crosson Avenue,3,15960809,1374,2,,67.839400530473,1,29,,residential,6,"LINESTRING (-92.6181986 41.2854423, -92.6173867 41.2854394)",auto;walk;bike,1
Crosson Avenue,4,15960809,1374,3,,66.67799088608149,1,29,,residential,6,"LINESTRING (-92.6181986 41.2854423, -92.61822789999999 41.2854424, -92.6189966 41.2854452)",auto;walk;bike,1
Crosson Avenue,5,15960809,3,1374,,66.67799088608149,1,29,,residential,6,"LINESTRING (-92.6189966 41.2854452, -92.61822789999999 41.2854424, -92.6181986 41.2854423)",auto;walk;bike,1
Crosson Avenue,6,15960809,3,1367,,55.46471580193759,1,29,,residential,6,"LINESTRING (-92.6189966 41.2854452, -92.6196604 41.2854476)",auto;walk;bike,1
Crosson Avenue,7,15960809,1367,3,,55.46471580193759,1,29,,residential,6,"LINESTRING (-92.6196604 41.2854476, -92.6189966 41.2854452)",auto;walk;bike,1
Crosson Avenue,8,15960809,1367,4,,55.2307613729555,1,29,,residential,6,"LINESTRING (-92.6196604 41.2854476, -92.62032139999999 41.28545)",auto;walk;bike,1
Crosson Avenue,9,15960809,4,1367,,55.2307613729555,1,29,,residential,6,"LINESTRING (-92.62032139999999 41.28545, -92.6196604 41.2854476)",auto;walk;bike,1
