name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id
,0,160409383,,,0,,,0,-92.6291543,41.2883596,,
,1,160409391,,,0,,,0,-92.6290992,41.2894232,,
,2,160409396,,,0,,,0,-92.6173867,41.2854394,,
,3,160409400,,,0,,,0,-92.6189966,41.2854452,,
,4,160409402,,,0,,,0,-92.6203214,41.28545,,
,5,160409404,,,0,,,0,-92.6216467,41.2854548,,
,6,160409416,,,0,,,0,-92.6592231,41.2952939,,
,7,160409418,traffic_signals,,1,,,0,-92.6592177,41.2962038,,
,8,160409420,,,0,,,0,-92.6592032,41.2970924,,
,9,160409424,,,0,,,0,-92.6591974,41.2984588,,
,10,160409426,,,0,,,0,-92.6592145,41.2993493,,
,11,160409433,,,0,,,0,-92.6614097,41.3009698,,
,12,160409436,,,0,,,0,-92.6613877,41.3021935,,
,13,160409438,,,0,,,0,-92.6613829,41.3034436,,
,14,160409441,,,0,,,0,-92.6614198,41.3046939,,
,15,160409444,,,0,,,0,-92.6614372,41.3052941,,
,16,160409854,,,0,,,0,-92.6458623,41.3190019,,
,17,160409856,,,0,,,0,-92.648233,41.3186446,,
,18,160409939,,,0,,,0,-92.6270092,41.2995039,,
,19,160409949,,,0,,,0,-92.6273579,41.2996411,,
,20,160409954,,,0,,,0,-92.6273576,41.2990405,,
,21,160409961,,,0,,,0,-92.6252488,41.2997921,,
,22,160409966,,,0,,,0,-92.6241667,41.299846,,
,23,160409977,,,0,,,0,-92.6216963,41.2999223,,
,24,160410399,,,0,,,0,-92.6207849,41.2962063,,
,25,160410466,,,0,,,0,-92.6223843,41.2959716,,
,26,160410469,,,0,,,0,-92.6217986,41.2959665,,
,27,160410472,,,0,,,0,-92.6185125,41.2959466,,
,28,160410474,,,0,,,0,-92.6179744,41.2959428,,
,29,160410521,,,0,,,0,-92.5338216,41.3028397,,
,30,160410530,,,0,,,0,-92.5296944,41.3068317,,
,31,160410569,,,0,,,0,-92.717839,41.277735,,
,32,160410572,,,0,,,0,-92.7180874,41.2779487,,
,33,160410590,turning_circle,,0,,,0,-92.6627281,41.2944519,,
,34,160410592,,,0,,,0,-92.662692,41.2952862,,
,35,160410682,,,0,,,0,-92.7011528,41.2676625,,
