link_id,name,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry
1,South 13th Street,0,1,,119.19380995702268,1,29,,residential,6,"LINESTRING (-92.6291543 41.2883596, -92.6291171 41.2884231, -92.6290833 41.2885578, -92.6290992 41.2894232)"
2,South 13th Street,1,0,,119.19380995702268,1,29,,residential,6,"LINESTRING (-92.6290992 41.2894232, -92.6290833 41.2885578, -92.6291171 41.2884231, -92.6291543 41.2883596)"
3,Crosson Avenue,2,1374,,67.839400530473,1,29,,residential,6,"LINESTRING (-92.6173867 41.2854394, -92.6181986 41.2854423)"
4,Crosson Avenue,1374,2,,67.839400530473,1,29,,residential,6,"LINESTRING (-92.6181986 41.2854423, -92.6173867 41.2854394)"
5,Crosson Avenue,1374,3,,66.67799088608149,1,29,,residential,6,"LINESTRING (-92.6181986 41.2854423, -92.61822789999999 41.2854424, -92.6189966 41.2854452)"
6,Crosson Avenue,3,1374,,66.67799088608149,1,29,,residential,6,"LINESTRING (-92.6189966 41.2854452, -92.61822789999999 41.2854424, -92.6181986 41.2854423)"
7,Crosson Avenue,3,1367,,55.46471580193759,1,29,,residential,6,"LINESTRING (-92.6189966 41.2854452, -92.6196604 41.2854476)"
8,Crosson Avenue,1367,3,,55.46471580193759,1,29,,residential,6,"LINESTRING (-92.6196604 41.2854476, -92.6189966 41.2854452)"
9,Crosson Avenue,1367,4,,55.230761372955506,1,29,,residential,6,"LINESTRING (-92.6196604 41.2854476, -92.62032139999999 41.28545)"
10,Crosson Avenue,4,1367,,55.230761372955506,1,29,,residential,6,"LINESTRING (-92.62032139999999 41.28545, -92.6196604 41.2854476)"
11,Crosson Avenue,4,1345,,55.481422607859,1,29,,residential,6,"LINESTRING (-92.62032139999999 41.28545, -92.6209854 41.2854524)"
12,Crosson Avenue,1345,4,,55.481422607859,1,29,,residential,6,"LINESTRING (-92.6209854 41.2854524, -92.62032139999999 41.28545)"
13,Crosson Avenue,1345,5,,55.25582363621611,1,29,,residential,6,"LINESTRING (-92.6209854 41.2854524, -92.6216467 41.2854548)"
14,Crosson Avenue,5,1345,,55.25582363621611,1,29,,residential,6,"LINESTRING (-92.6216467 41.2854548, -92.6209854 41.2854524)"
15,North L Street,6,1006,,51.5389460022423,1,29,,tertiary,5,"LINESTRING (-92.65922310000001 41.2952939, -92.65922190000001 41.2957574)"
16,North L Street,1006,6,,51.5389460022423,1,29,,tertiary,5,"LINESTRING (-92.65922190000001 41.2957574, -92.65922310000001 41.2952939)"
17,North L Street,1006,7,,49.63865537139772,1,29,,tertiary,5,"LINESTRING (-92.65922190000001 41.2957574, -92.6592177 41.2962038)"
18,North L Street,7,1006,,49.63865537139772,1,29,,tertiary,5,"LINESTRING (-92.6592177 41.2962038, -92.65922190000001 41.2957574)"
19,North L Street,7,1581,,47.92858110255038,1,29,,tertiary,5,"LINESTRING (-92.6592177 41.2962038, -92.6592107 41.2966348)"
20,North L Street,1581,7,,47.92858110255038,1,29,,tertiary,5,"LINESTRING (-92.6592107 41.2966348, -92.6592177 41.2962038)"
21,North L Street,1581,8,,50.886655897866476,1,29,,tertiary,5,"LINESTRING (-92.6592107 41.2966348, -92.65920319999999 41.2970924)"
