link_id,name,from_node_id,to_node_id,length,geometry,link_type_name,link_type,dir_flag,lanes,free_speed,capacity
10000001,9707,10000001,10000018,272.7750928169551,"LINESTRING (-92.648484155115 41.294468724891, -92.64892900000001 41.294393799999995, -92.6489575 41.2952765, -92.6498322 41.2953077, -92.649727973695 41.295224680166)",transit,99,1,1,50,100
10000002,9707,10000018,10000065,481.57447824757526,"LINESTRING (-92.649727973695 41.295224680166, -92.6498322 41.2953077, -92.6489575 41.2952765, -92.6476367 41.2957027, -92.64631290000001 41.2953155, -92.6457522 41.2953136, -92.64510809999999 41.2953139, -92.645312119513 41.295244157045005)",transit,99,1,1,50,100
10000003,9707,10000065,10000003,352.18064851561957,"LINESTRING (-92.645312119513 41.295244157045005, -92.64510809999999 41.2953139, -92.645117 41.295777, -92.6445077 41.29578720000001, -92.6445077 41.296235700000004, -92.6445094 41.2966731, -92.6438995 41.2966792, -92.6439061 41.2971198, -92.643760442958 41.296950643566)",transit,99,1,1,50,100
10000004,9707,10000003,10000019,361.76277798699203,"LINESTRING (-92.643760442958 41.296950643566, -92.6439061 41.2971198, -92.6439072 41.298494700000006, -92.6434462 41.2984968, -92.6426995 41.2985001, -92.642872127123 41.298455895024)",transit,99,1,1,50,100
10000005,9707,10000019,10000020,244.60862916911577,"LINESTRING (-92.642872127123 41.298455895024, -92.6426995 41.2985001, -92.6415325 41.2984962, -92.6409464 41.2984984, -92.64036429999999 41.2985006, -92.640496981541 41.298440819911)",transit,99,1,1,50,100
10000006,9707,10000020,10000021,307.1961958803138,"LINESTRING (-92.640496981541 41.298440819911, -92.64036429999999 41.2985006, -92.63977159999999 41.2985028, -92.6391899 41.298505, -92.6380235 41.2985094, -92.63815779496201 41.298463774640005)",transit,99,1,1,50,100
10000007,9707,10000021,10000022,293.56772765387944,"LINESTRING (-92.63815779496201 41.298463774640005, -92.6380235 41.2985094, -92.6366872 41.298514399999995, -92.6356823 41.298518200000004, -92.635497711837 41.298442705907)",transit,99,1,1,50,100
10000008,9707,10000022,10000023,316.3628041563997,"LINESTRING (-92.635497711837 41.298442705907, -92.6356823 41.298518200000004, -92.63450959999999 41.29852260000001, -92.6333322 41.298527, -92.633186397242 41.298456633491995)",transit,99,1,1,50,100
10000009,9707,10000023,10000024,608.5602419592942,"LINESTRING (-92.633186397242 41.298456633491995, -92.6333322 41.298527, -92.6318955 41.2985328, -92.63187950000001 41.2997448, -92.63194336877599 41.299688571411)",transit,99,1,1,50,100
10000010,9707,10000024,10000006,221.5025531399022,"LINESTRING (-92.63194336877599 41.299688571411, -92.63187950000001 41.2997448, -92.63056440000001 41.299781, -92.630464186136 41.29999081905)",transit,99,1,1,50,100
10000011,9707,10000006,10000025,817.6649364233294,"LINESTRING (-92.630464186136 41.29999081905, -92.63056440000001 41.299781, -92.63187950000001 41.2997448, -92.6318955 41.2985328, -92.6333322 41.298527, -92.63450959999999 41.29852260000001, -92.634384338719 41.298611668675)",transit,99,1,1,50,100
10000012,9707,10000025,10000005,499.4895529055005,"LINESTRING (-92.634384338719 41.298611668675, -92.63450959999999 41.29852260000001, -92.6345019 41.297154, -92.6344995 41.2962723, -92.6350858 41.2962698, -92.63566490000001 41.2962673, -92.6368325 41.2962693, -92.636733125677 41.29723261066)",transit,99,1,1,50,100
10000013,9707,10000005,10000026,398.5069953700648,"LINESTRING (-92.636733125677 41.29723261066, -92.6368325 41.2962693, -92.6380075 41.296264, -92.638588 41.296260600000004, -92.63860749999999 41.297149, -92.6391967 41.2971421, -92.63900768841299 41.297230851949)",transit,99,1,1,50,100
10000014,9707,10000026,10000027,295.1912169456939,"LINESTRING (-92.63900768841299 41.297230851949, -92.6391967 41.2971421, -92.6397796 41.297144, -92.6403605 41.2971416, -92.64093570000001 41.2971369, -92.6415291 41.297132, -92.64136502919399 41.297228209428)",transit,99,1,1,50,100
10000015,9707,10000027,10000004,119.81965380828277,"LINESTRING (-92.64136502919399 41.297228209428, -92.6415291 41.297132, -92.6415325 41.2984962, -92.6415323 41.29869229999999, -92.641434147372 41.298952906414)",transit,99,1,1,50,100
10000016,9707,10000004,10000028,184.96982088625424,"LINESTRING (-92.641434147372 41.298952906414, -92.6415323 41.29869229999999, -92.6415317 41.2992867, -92.6415307 41.3003481, -92.6415373 41.301660299999995, -92.64144827225999 41.301531536515)",transit,99,1,1,50,100
10000017,9707,10000028,10000029,246.43144480962178,"LINESTRING (-92.64144827225999 41.301531536515, -92.6415373 41.301660299999995, -92.64155749999999 41.30286470000001, -92.6416157 41.3043578, -92.641444269237 41.304252889107)",transit,99,1,1,50,100
10000018,9707,10000029,10000007,529.137088289669,"LINESTRING (-92.641444269237 41.304252889107, -92.6416157 41.3043578, -92.6415643 41.307426, -92.6415711 41.308254999999996, -92.64148210017099 41.308353924059)",transit,99,1,1,50,100
10000019,9707,10000007,10000030,107.0292858134541,"LINESTRING (-92.64148210017099 41.308353924059, -92.6415711 41.308254999999996, -92.64159790000001 41.3109715, -92.641505681477 41.310944464432)",transit,99,1,1,50,100
10000020,9707,10000030,10000031,1020.848980614191,"LINESTRING (-92.641505681477 41.310944464432, -92.64159790000001 41.3109715, -92.6427695 41.3109851, -92.64385959999998 41.3112158, -92.6456775 41.311340200000004, -92.6457312 41.3124858, -92.64550839038701 41.312688620846)",transit,99,1,1,50,100
10000021,9707,10000031,10000032,725.0039345974424,"LINESTRING (-92.64550839038701 41.312688620846, -92.6457312 41.3124858, -92.6456775 41.311340200000004, -92.6456567 41.31084420000001, -92.64563709999999 41.3103766, -92.645748646417 41.310274839678996)",transit,99,1,1,50,100
10000022,9707,10000032,10000008,635.406804391714,"LINESTRING (-92.645748646417 41.310274839678996, -92.64563709999999 41.3103766, -92.64551740000002 41.3077531, -92.6469443 41.307740700000004, -92.6478843 41.307749799999996, -92.648003787081 41.307828222836)",transit,99,1,1,50,100
10000023,9707,10000008,10000033,337.1437579737906,"LINESTRING (-92.648003787081 41.307828222836, -92.6478843 41.307749799999996, -92.648282 41.3077429, -92.6488993 41.3077411, -92.6495042 41.307739399999996, -92.6506619 41.307741, -92.650733499678 41.307612402619)",transit,99,1,1,50,100
10000024,9707,10000033,10000034,587.2928189129041,"LINESTRING (-92.650733499678 41.307612402619, -92.6506619 41.307741, -92.6506398 41.306202899999995, -92.6506305 41.3056631, -92.6506304 41.3043602, -92.650692494047 41.304410348495004)",transit,99,1,1,50,100
10000025,9707,10000034,10000009,376.8026360517635,"LINESTRING (-92.650692494047 41.304410348495004, -92.6506304 41.3043602, -92.6506297 41.3034942, -92.6506316 41.301808, -92.65072652595501 41.302224921743004)",transit,99,1,1,50,100
