link_id,name,from_node_id,to_node_id,length,geometry,link_type,dir_flag,lanes,free_speed,capacity
10000001,SKYT,10007915,10007916,1676.91178,"LINESTRING (-111.990022 33.446946000000004, -111.9900722 33.4462546, -111.9892744 33.4461815, -111.9889887 33.4461488, -111.987208525 33.44590895, -111.987238 33.4400929, -111.9860222 33.437918, -111.9878412 33.4367957, -111.9878285 33.4356656, -111.9878116 33.4353032, -111.9877438 33.4345001, -111.98533559999998 33.4352662, -111.984922 33.434637)",transit,1,1,65,1900
10000002,SKYT,10007916,10007918,1057.721171,"LINESTRING (-111.984922 33.434637, -111.98533559999998 33.4352662, -111.9877438 33.4345001, -111.9877063 33.4352047, -111.9878116 33.4353032, -111.9878939 33.4353092, -111.98860890000002 33.4352667, -111.9923626 33.43496, -111.9964365 33.434949100000004, -111.998028 33.43473)",transit,1,1,65,1900
10000003,SKYT,10007918,10007917,1667.579615,"LINESTRING (-111.998028 33.43473, -111.9964365 33.434949100000004, -111.9996803 33.4349428, -112.0052971 33.4349771, -112.0102922 33.4351239, -112.00998200000001 33.434733)",transit,1,1,65,1900
10000004,SKYT,10007917,10007918,4402.359847,"LINESTRING (-112.00998200000001 33.434733, -112.0102922 33.4351239, -112.01052659999998 33.4360926, -112.0133172 33.437898, -112.0162471 33.4373049, -112.0162602 33.4379394, -112.0105477 33.436472200000004, -112.0092684 33.4359091, -112.0087818 33.435903499999995, -112.0050395 33.435911600000004, -111.9964311 33.4360144, -111.9922793 33.4360191, -111.9919598 33.4360147, -111.98881000000002 33.435635999999995, -111.98860890000002 33.4352667, -111.9923626 33.43496, -111.9964365 33.434949100000004, -111.998028 33.43473)",transit,1,1,65,1900
10000005,SKYT,10007918,10007916,5301.366619,"LINESTRING (-111.998028 33.43473, -111.9964365 33.434949100000004, -111.9996803 33.4349428, -112.0052971 33.4349771, -112.0102922 33.4351239, -112.01052659999998 33.4360926, -112.0133172 33.437898, -112.0162471 33.4373049, -112.0162602 33.4379394, -112.0105477 33.436472200000004, -112.0092684 33.4359091, -112.0087818 33.435903499999995, -112.0050395 33.435911600000004, -111.9964311 33.4360144, -111.9922793 33.4360191, -111.9919598 33.4360147, -111.98881000000002 33.435635999999995, -111.9879108 33.435651, -111.9878285 33.4356656, -111.9878116 33.4353032, -111.9877438 33.4345001, -111.98533559999998 33.4352662, -111.984922 33.434637)",transit,1,1,65,1900
10000006,SKYT,10007916,10007915,2074.782836,"LINESTRING (-111.984922 33.434637, -111.98533559999998 33.4352662, -111.9877438 33.4345001, -111.9915873 33.4340177, -111.9916283 33.4346387, -111.9916342 33.4357664, -111.9916355 33.4361543, -111.9870339 33.4361523, -111.9860431 33.4365201, -111.9850896 33.4382419, -111.98717179999998 33.4401784, -111.987208525 33.44590895, -111.98747 33.4459691, -111.9883733 33.4461426, -111.9889347 33.4462951, -111.9892511 33.4463671, -111.9900722 33.4462546, -111.990022 33.446946000000004)",transit,1,1,65,1900
10000007,GUS1,10000357,10000330,598.6428476,"LINESTRING (-112.1851655 33.53974758, -112.1849517 33.5398552, -112.1837122 33.5398497, -112.18246299999998 33.539837899999995, -112.1824651 33.538548, -112.181211 33.5385418, -112.1806798 33.53846571)",transit,1,1,65,1900
10000008,GUS1,10000330,10000329,595.9905007,"LINESTRING (-112.1806798 33.53846571, -112.181211 33.5385418, -112.17996399999998 33.538535, -112.1787251 33.538529600000004, -112.17807 33.5385274, -112.1773898 33.5385219, -112.177034 33.53839049)",transit,1,1,65,1900
10000009,GUS1,10000329,10000328,489.7694526,"LINESTRING (-112.177034 33.53839049, -112.1773898 33.5385219, -112.1761719 33.5385128, -112.1749311 33.5385107, -112.1733255 33.538498600000004, -112.17384070000001 33.53838823)",transit,1,1,65,1900
10000010,GUS1,10000328,10003518,515.1264376,"LINESTRING (-112.17384070000001 33.53838823, -112.1733255 33.538498600000004, -112.1728598 33.5384916, -112.1708959 33.538461600000005, -112.1707524 33.538461100000006, -112.17080940000001 33.53806051)",transit,1,1,65,1900
